Pres,Type,ID,slope,perm,max.sum,min.wint,wint.days.below.neg5,wint.days.above.0,sden.mean,sden.std,avgEVI.lag,sum.days.above.21
0,NA,150,0.175383165,53.67928696,30.33916473,-43.52018738,102,0,582.0352173,86.39884949,0.426123977,16
0,NA,151,0.095304988,64.4874649,28.36858559,-32.13487244,106,9,568.6929932,95.9761734,0.391571462,16
0,NA,152,0.507076204,104,31.4338131,-40.06999969,109,0,585.5460815,89.27440643,0.116717063,16
0,NA,153,0.260421395,23.87075043,26.69916153,-31.02449608,112,8,583.6119995,88.20030212,0.2828933,15
0,NA,154,0.243779153,8.652402878,26.22455406,-30.88857651,113,8,581.1414185,92.9009552,0.328620523,16
0,NA,155,0.512259841,15.73988914,26.32674408,-29.81665039,117,8,583.2237549,89.29563141,0.288533211,14
0,NA,156,0.027589595,101,29.9422226,-44.45000076,109,7,592.3592529,92.09294128,0.168690637,16
0,NA,157,0.015033353,52.94218445,27.80491066,-32.12953949,106,7,566.6515503,97.44554138,0.447229683,18
0,NA,158,0.013824883,104,29.66424942,-57.06999969,107,0,583.2237549,89.29563141,0.227308318,13
0,NA,159,0.327850491,12.96787548,27.30626106,-41.20999908,114,9,601.8878174,73.07639313,0.409244061,15
0,NA,160,0.475309074,27.08659363,26.59366798,-29.38847351,117,8,585.5460815,89.27440643,0.261974037,16
0,NA,161,0.019760214,101,27.43523216,-41.20999908,111,10,601.8878174,73.07639313,0.164181381,16
0,NA,162,0.098794967,102.4934616,26.19300842,-33.16601944,111,8,581.1414185,92.9009552,0.289802939,13
0,NA,163,0.066051967,32.80355453,29.81509972,-36.22278595,95,0,585.5460815,89.27440643,0.364692867,15
0,NA,164,0.01780951,103.0921707,25.99147034,-31.78308868,113,7,581.1414185,92.9009552,0.270162016,13
0,NA,165,0.04698991,8.463017464,26.48071098,-38.13168335,122,8,598.8708496,76.06024933,0.209658325,15
0,NA,166,0.601679027,90.75238037,30.98077583,-58.47000122,111,0,585.5460815,89.27440643,0.265490234,14
0,NA,167,0.040148024,80.96646118,28.04126167,-38.79000092,112,7,583.2237549,89.29563141,0.396692067,15
0,NA,168,0.1126974,103.8913498,26.05844116,-31.31529236,113,7,581.1414185,92.9009552,0.238932893,13
0,NA,169,0.23035422,78.30332947,26.88942719,-34.71938324,122,7,598.8708496,76.06024933,0.291992545,12
0,NA,170,0.185518533,35.97207642,25.79675102,-29.88998032,105,6,577.7645264,97.71113586,0.295047313,9
0,NA,171,0.25209564,25.40226936,26.83292007,-31.10449219,114,8,583.6119995,88.20030212,0.407045037,15
0,NA,172,0.748117208,104,25.43582344,-36.84471512,118,7,604.1850586,74.03622437,0.125042051,12
0,NA,173,0.078859091,29.03059769,27.16109467,-34.37568283,122,6,598.8708496,76.06024933,0.293897748,12
0,NA,174,0.079854801,28.44919777,29.47463989,-43.25,106,0,568.6929932,95.9761734,0.414653361,16
0,NA,175,0.318868548,99.20636749,26.61024666,-30.55111313,114,9,583.6119995,88.20030212,0.347599119,18
0,NA,176,0.093606018,10.31401062,28.84676361,-43.30583191,100,0,577.7645264,97.71113586,0.465673864,16
0,NA,177,0.088917732,56.49974823,27.71993065,-32.55891037,112,9,560.0848999,102.9458313,0.306807727,14
0,NA,178,0.626453161,104,26.70011711,-35.63000107,118,8,583.6119995,88.20030212,0.163144916,13
0,NA,179,0.239155918,18.52420235,29.53247452,-57.06999969,109,0,583.2237549,89.29563141,0.189876765,13
0,NA,180,0.042185251,102.0934296,26.78454399,-37.25,112,7,601.8878174,73.07639313,0.216641799,11
0,NA,181,0.170121372,24.03270721,28.2744503,-41.68459702,97,0,577.7645264,97.71113586,0.512636721,17
0,NA,182,0.517556906,11.93331337,26.83292007,-31.10449219,114,8,583.6119995,88.20030212,0.301591396,15
0,NA,183,0.035385087,49.88820648,29.96198463,-58.25,113,0,585.5460815,89.27440643,0.253889799,18
0,NA,184,0.13162677,40.30653381,26.19300842,-33.16601944,111,8,581.1414185,92.9009552,0.33935073,13
0,NA,185,0.154424369,21.07182312,30.90258217,-38.84028244,100,0,585.5460815,89.27440643,0.160810351,16
0,NA,186,0.050036471,23.30234528,27.07545471,-32.290905,110,8,560.0848999,102.9458313,0.302178383,15
0,NA,187,0.381004453,104,26.57020187,-32.32313156,110,8,583.6119995,88.20030212,0.230029538,12
0,NA,188,0.418208212,103.8497009,26.51272011,-29.62867737,116,8,585.5460815,89.27440643,0.210534349,14
0,NA,189,0.571504295,15.96901512,27.71993065,-32.55891037,112,9,564.5529785,92.10186768,0.341979623,14
0,NA,190,0.288176894,56.80858994,26.3764286,-42.52480316,103,0,577.7645264,97.71113586,0.333785653,9
0,NA,191,0.019123688,104,26.31354904,-36.57884216,115,8,604.1850586,74.03622437,0.227674901,15
0,NA,192,0.273971796,101.7921448,25.55986786,-36.94524384,116,7,604.1850586,74.03622437,0.16551739,12
0,NA,193,0.022797765,65.1902771,27.98000145,-31.55735588,121,9,583.6119995,88.20030212,0.296189845,16
0,NA,194,0.725253403,30.23649597,30.79295921,-35.896595,103,0,585.5460815,89.27440643,0.412704974,18
